"Code","Name","Description"
"0CREDIE017","NIMS Metalforming Level 1","National Institute for Metalworking Skills Metalforming Level 1 See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDIE018","Completion of BOLI-Approved Pre-Apprenticeship Construction","Completion of BOLI-Approved Pre-Apprenticeship Construction"
"0CREDIE019","Completion of BOLI-Approved Pre-Apprenticeship Manufacturing","Completion of BOLI-Approved Pre-Apprenticeship Manufacturing"
"0CREDIE020","Autodesk Fusion 360 Certified User","Autodesk Fusion 360 Certified User"
"0CREDIE021","MSI Manufacturing Technician 1 (MT1)","Manufacturing Skills Institute Manufacturing Technician 1 (MT1) See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDIE022","AWS SENSE Level 1","American Welding Society SENSE Level 1 See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDIE023","Option of CITF Career Connections","Carpenters International Trainig Fund Career Connections Level 2 OR Level 3 See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDIE025","ASE Student Certification in electrical / electronic systems","ASE Student Certification in electrical / electronic systems See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDIE026","ASE Student Certification in engine performance","ASE Student Certification in engine performance See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDIE027","ASE Student Certification in suspension and steering","ASE Student Certification in suspension and steering See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDIE028","ASW SENSE Level 2","American Welding Society SENSE Level 2 See details in the specific certification program and speak to your CTE Education Specialist for details on determination of skill level."
"0CREDIE029","Arduino Certification used for an IES CIP","Arduino Certification used for an IES CIP"
"0CREDIE030","Gas Metal Arc Welding (GMAW) intro used for an IES CIP","Gas Metal Arc Welding intro cert for IES CIP: intro level in-person or e-learning intro level from either AWS certification, as a component of LEEPs, or other industry-recognized third-party certifier. Inquire for details"
