NAICS_Code,NAICS_Sector,Name,Address,City,Zipcode,Business
4491,Retail Trade,Mattress Firm,Biddle Rd # Suitea,Medford,97504,Mattresses
4491,Retail Trade,Medford Mattress,S Front St,Medford,97501,Mattresses
4491,Retail Trade,Medford Mini Storage,Bullock Rd,Medford,97504,Venetian Blinds-Retail
4491,Retail Trade,Mirror Image,E Pine St,Central Point,97502,Mirrors
4491,Retail Trade,Modoc Knife Co,David Ln,Medford,97504,Cutlery-Retail
4492,Retail Trade,Affordable Pump Svc,S Pacific Hwy,Talent,97540,Pumps-Retail
4492,Retail Trade,Anderson Technologies,Summer Glen Dr,Medford,97501,Computer & Equipment Dealers
4492,Retail Trade,Best Buy,Poplar Dr,Medford,97504,Electronic Equipment & Supplies-Retail
4492,Retail Trade,CBC Well Pump Svc Inc,E Evans Creek Rd,Rogue River,97537,Pumps-Retail
4492,Retail Trade,Computer Country,Crystal Dr,Eagle Point,97524,Computer & Equipment Dealers
4492,Retail Trade,Computer Guys,E Barnett Rd # B,Medford,97504,Computer & Equipment Dealers
4492,Retail Trade,Connecting Point,E Mcandrews Rd # 114,Medford,97504,Computer & Equipment Dealers
4492,Retail Trade,Connecting Point Computer Ctr,Stevens St,Medford,97504,Computer & Equipment Dealers
4492,Retail Trade,Custom Sight & Sound,Michael Rd,Central Point,97502,Home Theatre Systems
4492,Retail Trade,Cyber Center,N Phoenix Rd # H,Phoenix,97535,Computer Parts & Supplies
4492,Retail Trade,Cybercenter Superstore,Crater Lake Hwy,Medford,97504,Computer & Equipment Dealers
4492,Retail Trade,D J Depot LLC,E Barnett Rd # E335,Medford,97504,Disc Jockey Equipment & Supplies
4492,Retail Trade,Diamond Audio,Court St # 101,Medford,97501,Stereophonic & High Fidelity Equip-Dlrs
4492,Retail Trade,Diana's Records,E Main St,Ashland,97520,Records Tapes & Compact Discs-Retail
4492,Retail Trade,Ductless Heat Pumps-Southern,Coleman Creek Rd,Medford,97501,Pumps-Retail
4492,Retail Trade,Falcon Northwest,Commerce Dr,Medford,97504,Computer & Equipment Dealers
4492,Retail Trade,FYE,N Riverside Ave # 2087,Medford,97501,Video Tapes Discs & Cassettes
4492,Retail Trade,Global Cache,E California St,Jacksonville,97530,Electronic Equipment & Supplies-Retail
4492,Retail Trade,Green Valley Pump,Sutter Ave,Medford,97504,Pumps-Retail
4492,Retail Trade,Green Valley Pump Inc,S Pacific Hwy,Talent,97540,Pumps-Retail
4492,Retail Trade,Lehi Pump Svc,Highway 238,Grants Pass,97527,Pumps-Retail
4492,Retail Trade,Machina,,Jacksonville,97530,Computer & Equipment Dealers
4492,Retail Trade,Medford Computer,Temple Dr,Medford,97504,Computer & Equipment Dealers
4492,Retail Trade,Modern Fan Co,Washington St,Ashland,97520,Fans-Household
4492,Retail Trade,Music Coop,E Main St,Ashland,97520,Records Tapes & Compact Discs-Retail
4492,Retail Trade,No Wires Now,N Riverside Ave,Medford,97501,Satellite Equipment & Systems-Retail
4492,Retail Trade,Talent Computer LLC,Lani Way,Talent,97540,Computer & Equipment Dealers
4492,Retail Trade,Tekmanagement Inc,Ohare Pkwy,Medford,97504,Computer & Equipment Dealers
4492,Retail Trade,THATAPPLIANCEGUY.BIZ,Biddle Rd,Medford,97504,Appliances-Household-Major-Dealers
4492,Retail Trade,Village Books,W Main St # I,Medford,97501,Audio-Visual Equipment-Dealers
4492,Retail Trade,Wagner Electronic Products Inc,Broadway St,Rogue River,97537,Electronic Equipment & Supplies-Retail
4492,Retail Trade,West Coast Appliance & Furn,Crater Lake Hwy,Central Point,97502,Appliances-Household-Major-Dealers
4551,Retail Trade,Bi-Mart,Ashland St,Ashland,97520,Department Stores
4551,Retail Trade,Bi-Mart,W Main St,Medford,97501,Department Stores
4551,Retail Trade,Bi-Mart,Biddle Rd,Medford,97504,Department Stores
4551,Retail Trade,Burlington,Medford Ctr,Medford,97504,Department Stores
4551,Retail Trade,Jc Penney,N Riverside Ave,Medford,97501,Department Stores
4551,Retail Trade,Kohl's,N Riverside Ave,Medford,97501,Department Stores
4551,Retail Trade,Lloyd Thompson Construction,Biddle Rd # G,Medford,97504,Department Stores
4551,Retail Trade,Lloyd Thompson Enterprises Inc,Devils Garden Rd,Medford,97504,Department Stores
4551,Retail Trade,Macy's,N Riverside Ave,Medford,97501,Department Stores
4551,Retail Trade,Marshalls,Rossanley Dr,Medford,97501,Department Stores
4551,Retail Trade,Pico's,E California St,Jacksonville,97530,Retail Shops
4551,Retail Trade,Ross Dress For Less,Poplar Dr,Medford,97504,Department Stores
4551,Retail Trade,Ross Dress For Less,Medford Ctr # 519,Medford,97504,Department Stores
4551,Retail Trade,Sawyer Paddles & Oars,2nd Ave,Gold Hill,97525,Retail Shops
4551,Retail Trade,Target,Crater Lake Hwy,Medford,97504,Department Stores
4551,Retail Trade,TJ Maxx,Medford Ctr,Medford,97504,Department Stores
4551,Retail Trade,Walmart Supercenter,Hannon Rd,Eagle Point,97524,Department Stores
